강좌검색,,,,,,,,,,,,,,,,,,,,,,,
" 년도 : 2025학년도,   학기 : 겨울학기,   교양영역 : 전체,   상위영역 : 전체,   이수과정 : 전체,   학년 : 전체,   개설대학 : 전체,   개설학과 : 전체,   개설전공 : 전체,   수업진행형태 : 전체,   성적부여형태 : 전체",,,,,,,,,,,,,,,,,,,,,,,
교과구분,개설대학,개설학과,이수과정,학년,교과목번호,강좌번호,교과목명,부제명,학점,강의,실습,수업교시,수업형태,"강의실(동-호)(#연건, *평창)",주담당교수,장바구니신청,재학생장바구니신청,신입생장바구니신청,정원,수강신청인원,비고,강의언어,개설상태
교양,인문대학,영어영문학과,학사,1학년,F21.201,001,대학영어 2: 글쓰기,,3,3,0,월(09:00~11:50)/수(09:00~11:50)/금(09:00~11:50),이론/이론/이론,2-106(무선랜제공)/2-106(무선랜제공)/2-106(무선랜제공),오수진,58,58,0,24 (24),24,"ⓔ수강기준에 맞지않을시 F, 텝스성적(마이스누-학사정보-나의정보-종합정보-활동정보조회-어학점수내역) 및 FAQ(https://snuc.snu.ac.kr/공지사항/document/98) 반드시 확인 후 신청",영어,설강
교양,인문대학,국어국문학과,학사,1학년,F11.101,002,대학 글쓰기 1,,2,3,0,월(12:00~14:50)/수(12:00~14:50)/금(12:00~14:50),이론/이론/이론,2-101-1(무선랜제공)/2-101-1(무선랜제공)/2-101-1(무선랜제공),이경근,32,32,0,25 (25),25,"재수강자만 수강 가능(초수강자 수강 불가) / 전 강좌의 수강신청정원에 여석이 있을 경우, 정원 외 신청 받지 않음(정원 외 신청 조건 및 방법은 국어국문학과 홈페이지 참고)",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,F11.101,001,대학 글쓰기 1,,2,3,0,화(12:00~14:50)/목(12:00~14:50)/금(12:00~14:50),이론/이론/이론,2-101(무선랜제공)/2-101(무선랜제공)/2-101(무선랜제공),차익종,17,17,0,25 (25),25,"재수강자만 수강 가능(초수강자 수강 불가) / 전 강좌의 수강신청정원에 여석이 있을 경우, 정원 외 신청 받지 않음(정원 외 신청 조건 및 방법은 국어국문학과 홈페이지 참고)",한국어,설강
교양,학부대학,,학사,1학년,F11.203,001,대학 글쓰기 2: 과학기술글쓰기,,2,3,0,월(09:00~11:50)/수(09:00~11:50)/금(09:00~11:50),이론/이론/이론,3-211-1(무선랜제공)/3-211-1(무선랜제공)/3-211-1(무선랜제공),김재호,74,74,0,25 (25),25,,한국어,설강
교양,학부대학,,학사,1학년,F11.203,002,대학 글쓰기 2: 과학기술글쓰기,,2,3,0,월(15:00~17:50)/수(15:00~17:50)/금(15:00~17:50),이론/이론/이론,14-102(무선랜제공)/14-102(무선랜제공)/14-102(무선랜제공),김광식,162,162,0,25 (25),25,,한국어,설강
교양,학부대학,,학사,1학년,F11.203,003,대학 글쓰기 2: 과학기술글쓰기,,2,3,0,월(09:00~11:50)/수(09:00~11:50)/금(09:00~11:50),이론/이론/이론,61-321/61-321/61-321,최정은,47,47,0,25 (25),25,,한국어,설강
교양,사범대학,체육교육과,학사,1학년,E43.104,002,달리기와 건강,,1,0,2,화(15:00~15:50)/화(14:00~14:50)/화(16:00~16:50)/목(14:00~16:50),실습/실기/실기/실기,/ / /,김태우,76,76,0,30 (30),30,,한국어,설강
교양,인문대학,미학과,학사,1학년,C10.106,001,대중예술의 이해,,3,3,0,월(12:00~14:50)/수(12:00~14:50)/금(12:00~14:50),이론/이론/이론,8-301(무선랜제공)/8-301(무선랜제공)/8-301(무선랜제공),계영경,11,11,0,60 (60),32,,한국어,설강
교양,인문대학,영어영문학과,학사,1학년,F21.202,001,대학영어 2: 말하기,,3,3,0,월(09:00~11:50)/수(09:00~11:50)/금(09:00~11:50),이론/이론/이론,3-114(무선랜제공)/3-114(무선랜제공)/3-114(무선랜제공),Paul Shepherd,31,31,0,24 (24),24,"ⓔ수강기준에 맞지않을시 F, 텝스성적(마이스누-학사정보-나의정보-종합정보-활동정보조회-어학점수내역) 및 FAQ(https://snuc.snu.ac.kr/공지사항/document/98) 반드시 확인 후 신청",영어,설강
교양,인문대학,영어영문학과,학사,1학년,F21.202,002,대학영어 2: 말하기,,3,3,0,월(12:00~14:50)/수(12:00~14:50)/금(12:00~14:50),이론/이론/이론,3-114(무선랜제공)/3-114(무선랜제공)/3-114(무선랜제공),Paul Shepherd,34,34,0,24 (24),24,"ⓔ수강기준에 맞지않을시 F, 텝스성적(마이스누-학사정보-나의정보-종합정보-활동정보조회-어학점수내역) 및 FAQ(https://snuc.snu.ac.kr/공지사항/document/98) 반드시 확인 후 신청",영어,설강
교양,인문대학,영어영문학과,학사,1학년,F21.202,004,대학영어 2: 말하기,,3,3,0,월(09:00~11:50)/수(09:00~11:50)/금(09:00~11:50),이론/이론/이론,3-109(무선랜제공)/3-109(무선랜제공)/3-109(무선랜제공),박민영,31,31,0,24 (24),24,"ⓔ수강기준에 맞지않을시 F, 텝스성적(마이스누-학사정보-나의정보-종합정보-활동정보조회-어학점수내역) 및 FAQ(https://snuc.snu.ac.kr/공지사항/document/98) 반드시 확인 후 신청",영어,설강
